Date;Open;High;Low;Close;Volume
2024.11.04 05:45;2741.29;2741.36;2740.36;2740.95;860
2024.11.04 06:00;2740.92;2742.02;2740.46;2741.3;786
2024.11.04 06:15;2741.29;2741.35;2739.75;2739.84;604
2024.11.04 06:30;2739.8;2742.02;2739.74;2741.73;658
2024.11.04 06:45;2741.74;2742.13;2740.61;2740.9;702
2024.11.04 07:00;2740.89;2742.85;2739.85;2742.77;973
2024.11.04 07:15;2742.77;2743.68;2740.76;2740.95;822
2024.11.04 07:30;2740.97;2741.02;2738.41;2739.3;1226
2024.11.04 07:45;2739.34;2741.55;2737.69;2741.53;1242
2024.11.04 08:00;2741.56;2741.62;2737.5;2737.97;1243
2024.11.04 08:15;2738.02;2738.58;2735.73;2738.43;1287
2024.11.04 08:30;2738.4;2738.71;2737.14;2738.15;967
2024.11.04 08:45;2738.14;2741.48;2737.6;2741.42;1172
2024.11.04 09:00;2741.55;2744.75;2740.75;2742.7;1302
2024.11.04 09:15;2742.69;2743.12;2739.64;2739.92;904
2024.11.04 09:30;2739.91;2740.45;2738.17;2738.21;1001
2024.11.04 09:45;2738.19;2738.19;2735.1;2735.86;1085
2024.11.04 10:00;2735.83;2737.17;2734.12;2735.84;1204
2024.11.04 10:15;2735.83;2736.33;2733.88;2735.75;1112
2024.11.04 10:30;2735.76;2738.42;2734.76;2736.44;1122
2024.11.04 10:45;2736.74;2737.04;2732.04;2733.35;1205
2024.11.04 11:00;2733.34;2735.05;2732.56;2733.8;1035
2024.11.04 11:15;2733.9;2741.81;2733.9;2741.1;1225
2024.11.04 11:30;2741.08;2743.23;2740.73;2740.73;1244
2024.11.04 11:45;2740.74;2744.04;2739.62;2743.3;1212
2024.11.04 12:00;2743.31;2745.18;2742.35;2744.52;1090
2024.11.04 12:15;2744.56;2744.57;2741.28;2742.05;1039
2024.11.04 12:30;2742.09;2742.34;2740.24;2740.97;898
2024.11.04 12:45;2740.97;2741.21;2736.47;2738.62;971
2024.11.04 13:00;2738.5;2740.1;2737.02;2737.88;1016
2024.11.04 13:15;2737.86;2738.5;2736.1;2737.89;970
2024.11.04 13:30;2737.91;2740.74;2737.75;2739.37;1044
2024.11.04 13:45;2739.37;2740.89;2739.12;2740.58;914
2024.11.04 14:00;2740.5;2743.14;2740.19;2740.86;1102
2024.11.04 14:15;2740.89;2742.15;2739.84;2740.22;967
2024.11.04 14:30;2740.23;2742.26;2739.5;2742.06;963
2024.11.04 14:45;2742.06;2744.02;2742.01;2743.39;1059
2024.11.04 15:00;2743.4;2744.53;2742.08;2744.11;1440
2024.11.04 15:15;2744.13;2744.86;2739.91;2740.78;1429
2024.11.04 15:30;2740.66;2744.93;2738.77;2744.58;1479
2024.11.04 15:45;2744.71;2746.74;2744.22;2746.73;1362
2024.11.04 16:00;2746.74;2748.16;2745.25;2745.83;1462
2024.11.04 16:15;2745.83;2746.11;2742.17;2742.82;1380
2024.11.04 16:30;2742.76;2745.54;2737.87;2745.44;1571
2024.11.04 16:45;2745.41;2745.49;2740.79;2743.27;1447
2024.11.04 17:00;2743.26;2744.92;2741.28;2744.48;1478
2024.11.04 17:15;2744.62;2745.55;2741.42;2741.59;1472
2024.11.04 17:30;2741.56;2742.6;2737.74;2741.51;1520
2024.11.04 17:45;2741.62;2741.63;2737.71;2738.51;1409
2024.11.04 18:00;2738.51;2738.9;2735.17;2735.49;1449
2024.11.04 18:15;2735.34;2738.13;2734.8;2737.78;1312
2024.11.04 18:30;2737.71;2738.76;2735.02;2735.17;1216
2024.11.04 18:45;2735.16;2735.53;2732.37;2734.2;1187
2024.11.04 19:00;2734.22;2735.17;2731.74;2734.6;1163
2024.11.04 19:15;2734.67;2737.94;2734.03;2737.55;1040
2024.11.04 19:30;2737.55;2737.99;2735.75;2736.28;926
2024.11.04 19:45;2736.38;2738.51;2735.23;2738.41;1021
2024.11.04 20:00;2738.46;2738.71;2735.67;2737.14;1134
2024.11.04 20:15;2737.14;2738.64;2736.63;2736.86;1202
2024.11.04 20:30;2736.82;2739.24;2736.47;2738.06;963
2024.11.04 20:45;2737.96;2738.35;2737.04;2738.09;810
2024.11.04 21:00;2738.2;2739.39;2737.66;2738.12;899
2024.11.04 21:15;2738.11;2738.72;2737.37;2737.55;895
2024.11.04 21:30;2737.55;2739.66;2737.2;2738.83;803
2024.11.04 21:45;2738.82;2739.46;2738.23;2738.32;915
2024.11.04 22:00;2738.33;2738.33;2736.31;2736.9;678
2024.11.04 22:15;2736.89;2738.45;2736.52;2738.29;815
2024.11.04 22:30;2738.16;2738.59;2736.31;2737.2;826
2024.11.04 22:45;2737.24;2737.88;2736.45;2737.34;847
2024.11.04 23:00;2737.36;2737.66;2736.48;2736.61;308
2024.11.04 23:15;2736.62;2736.62;2735.94;2736.3;239
2024.11.04 23:30;2736.28;2737.09;2736.18;2736.19;232
2024.11.04 23:45;2736.24;2736.61;2736.12;2736.46;269
2024.11.05 01:00;2736.84;2738.06;2736.73;2737.46;279
2024.11.05 01:15;2737.43;2737.43;2736.74;2736.77;175
2024.11.05 01:30;2736.77;2737.08;2736.45;2737.05;355
2024.11.05 01:45;2737.04;2737.46;2736.03;2736.06;508
2024.11.05 02:00;2736.11;2736.24;2734.03;2734.48;645
2024.11.05 02:15;2734.48;2736.62;2734.07;2736.52;592
2024.11.05 02:30;2736.51;2736.69;2735.52;2736.14;578
2024.11.05 02:45;2736.16;2736.69;2734.93;2735.08;632
2024.11.05 03:00;2735.09;2735.67;2733.97;2734.25;1211
2024.11.05 03:15;2734.27;2735.32;2733.01;2733.68;1166
2024.11.05 03:30;2733.68;2735.17;2732.94;2733.81;1149
2024.11.05 03:45;2733.84;2736.16;2733.15;2734.25;1210
2024.11.05 04:00;2734.25;2735.26;2733.25;2734.84;1176
2024.11.05 04:15;2734.84;2735.17;2733.45;2733.97;920
2024.11.05 04:30;2733.97;2734.68;2725.61;2726.24;1499
