datetime,symbol,open,high,low,close,volume
2025-04-03 17:15:00,FOREXCOM:XAUUSD,3098.335,3100.07,3092.02,3092.23,0.0
2025-04-03 17:30:00,FOREXCOM:XAUUSD,3092.23,3093.305,3085.345,3091.065,0.0
2025-04-03 17:45:00,FOREXCOM:XAUUSD,3091.065,3097.38,3089.525,3093.22,0.0
2025-04-03 18:00:00,FOREXCOM:XAUUSD,3093.22,3094.815,3087.525,3090.57,0.0
2025-04-03 18:15:00,FOREXCOM:XAUUSD,3090.57,3090.905,3075.085,3078.65,0.0
2025-04-03 18:30:00,FOREXCOM:XAUUSD,3078.65,3079.11,3062.47,3065.945,0.0
2025-04-03 18:45:00,FOREXCOM:XAUUSD,3065.945,3080.32,3065.25,3076.4,0.0
2025-04-03 19:00:00,FOREXCOM:XAUUSD,3076.4,3076.43,3054.14,3059.48,0.0
2025-04-03 19:15:00,FOREXCOM:XAUUSD,3059.48,3069.71,3056.315,3065.47,0.0
2025-04-03 19:30:00,FOREXCOM:XAUUSD,3065.47,3089.07,3064.325,3086.81,0.0
2025-04-03 19:45:00,FOREXCOM:XAUUSD,3086.81,3093.57,3084.295,3086.08,0.0
2025-04-03 20:00:00,FOREXCOM:XAUUSD,3086.08,3116.63,3086.08,3114.48,0.0
2025-04-03 20:15:00,FOREXCOM:XAUUSD,3114.48,3126.755,3111.08,3125.495,0.0
2025-04-03 20:30:00,FOREXCOM:XAUUSD,3125.495,3127.975,3117.85,3123.775,0.0
2025-04-03 20:45:00,FOREXCOM:XAUUSD,3123.775,3135.615,3123.775,3128.985,0.0
2025-04-03 21:00:00,FOREXCOM:XAUUSD,3128.985,3129.55,3110.42,3111.645,0.0
2025-04-03 21:15:00,FOREXCOM:XAUUSD,3111.645,3113.505,3104.125,3106.355,0.0
2025-04-03 21:30:00,FOREXCOM:XAUUSD,3106.355,3113.56,3105.675,3112.96,0.0
2025-04-03 21:45:00,FOREXCOM:XAUUSD,3112.96,3113.035,3105.72,3110.62,0.0
2025-04-03 22:00:00,FOREXCOM:XAUUSD,3110.62,3114.32,3104.23,3108.935,0.0
2025-04-03 22:15:00,FOREXCOM:XAUUSD,3108.935,3109.465,3101.93,3108.54,0.0
2025-04-03 22:30:00,FOREXCOM:XAUUSD,3108.54,3110.895,3106.505,3109.495,0.0
2025-04-03 22:45:00,FOREXCOM:XAUUSD,3109.495,3110.835,3107.43,3107.65,0.0
2025-04-03 23:00:00,FOREXCOM:XAUUSD,3107.65,3107.69,3102.105,3104.0,0.0
2025-04-03 23:15:00,FOREXCOM:XAUUSD,3104.0,3105.65,3100.825,3100.985,0.0
2025-04-03 23:30:00,FOREXCOM:XAUUSD,3100.985,3107.88,3100.145,3106.69,0.0
2025-04-03 23:45:00,FOREXCOM:XAUUSD,3106.69,3110.0,3106.16,3109.635,0.0
2025-04-04 00:00:00,FOREXCOM:XAUUSD,3109.635,3110.305,3107.005,3107.355,0.0
2025-04-04 00:15:00,FOREXCOM:XAUUSD,3107.355,3108.585,3103.015,3105.1,0.0
2025-04-04 00:30:00,FOREXCOM:XAUUSD,3105.1,3106.94,3102.245,3106.64,0.0
2025-04-04 00:45:00,FOREXCOM:XAUUSD,3106.64,3111.765,3105.565,3111.7,0.0
2025-04-04 01:00:00,FOREXCOM:XAUUSD,3111.7,3112.88,3110.295,3111.79,0.0
2025-04-04 01:15:00,FOREXCOM:XAUUSD,3111.79,3113.33,3106.795,3107.27,0.0
2025-04-04 01:30:00,FOREXCOM:XAUUSD,3107.27,3107.36,3102.55,3104.715,0.0
2025-04-04 01:45:00,FOREXCOM:XAUUSD,3104.715,3108.31,3101.675,3107.69,0.0
2025-04-04 02:00:00,FOREXCOM:XAUUSD,3107.69,3109.44,3107.345,3107.72,0.0
2025-04-04 02:15:00,FOREXCOM:XAUUSD,3107.72,3110.89,3107.675,3110.1,0.0
2025-04-04 02:30:00,FOREXCOM:XAUUSD,3110.1,3117.775,3109.845,3117.315,0.0
2025-04-04 02:45:00,FOREXCOM:XAUUSD,3117.315,3119.885,3112.955,3114.71,0.0
2025-04-04 04:00:00,FOREXCOM:XAUUSD,3114.71,3115.18,3112.325,3114.38,0.0
2025-04-04 04:15:00,FOREXCOM:XAUUSD,3114.38,3115.1,3112.915,3114.57,0.0
2025-04-04 04:30:00,FOREXCOM:XAUUSD,3114.57,3116.705,3114.4,3116.13,0.0
2025-04-04 04:45:00,FOREXCOM:XAUUSD,3116.13,3116.23,3112.405,3115.4,0.0
2025-04-04 05:00:00,FOREXCOM:XAUUSD,3115.4,3115.445,3109.89,3111.265,0.0
2025-04-04 05:15:00,FOREXCOM:XAUUSD,3111.265,3113.055,3110.605,3112.69,0.0
2025-04-04 05:30:00,FOREXCOM:XAUUSD,3112.69,3115.385,3112.585,3114.5,0.0
2025-04-04 05:45:00,FOREXCOM:XAUUSD,3114.5,3116.415,3112.945,3113.0,0.0
2025-04-04 06:00:00,FOREXCOM:XAUUSD,3113.0,3115.12,3112.025,3112.62,0.0
2025-04-04 06:15:00,FOREXCOM:XAUUSD,3112.62,3113.4,3109.15,3109.27,0.0
2025-04-04 06:30:00,FOREXCOM:XAUUSD,3109.27,3111.055,3106.07,3110.925,0.0
2025-04-04 06:45:00,FOREXCOM:XAUUSD,3110.925,3111.63,3108.525,3110.68,0.0
2025-04-04 07:00:00,FOREXCOM:XAUUSD,3110.68,3115.86,3110.43,3114.76,0.0
2025-04-04 07:15:00,FOREXCOM:XAUUSD,3114.76,3114.99,3111.89,3113.905,0.0
2025-04-04 07:30:00,FOREXCOM:XAUUSD,3113.905,3114.44,3109.23,3110.12,0.0
2025-04-04 07:45:00,FOREXCOM:XAUUSD,3110.12,3112.845,3109.495,3109.895,0.0
2025-04-04 08:00:00,FOREXCOM:XAUUSD,3109.895,3113.07,3107.55,3112.795,0.0
2025-04-04 08:15:00,FOREXCOM:XAUUSD,3112.795,3112.945,3104.425,3104.85,0.0
2025-04-04 08:30:00,FOREXCOM:XAUUSD,3104.85,3106.095,3091.28,3098.59,0.0
2025-04-04 08:45:00,FOREXCOM:XAUUSD,3098.59,3099.36,3092.94,3096.855,0.0
2025-04-04 09:00:00,FOREXCOM:XAUUSD,3096.855,3099.14,3087.21,3093.78,0.0
2025-04-04 09:15:00,FOREXCOM:XAUUSD,3093.78,3094.25,3089.83,3093.47,0.0
2025-04-04 09:30:00,FOREXCOM:XAUUSD,3093.47,3095.73,3091.855,3094.985,0.0
2025-04-04 09:45:00,FOREXCOM:XAUUSD,3094.985,3098.545,3092.88,3098.545,0.0
2025-04-04 10:00:00,FOREXCOM:XAUUSD,3098.545,3100.465,3096.165,3099.595,0.0
2025-04-04 10:15:00,FOREXCOM:XAUUSD,3099.595,3101.825,3098.295,3098.985,0.0
2025-04-04 10:30:00,FOREXCOM:XAUUSD,3098.985,3104.565,3097.585,3104.39,0.0
2025-04-04 10:45:00,FOREXCOM:XAUUSD,3104.39,3105.105,3098.27,3100.215,0.0
2025-04-04 11:00:00,FOREXCOM:XAUUSD,3100.215,3105.065,3098.96,3102.02,0.0
2025-04-04 11:15:00,FOREXCOM:XAUUSD,3102.02,3107.445,3101.605,3106.04,0.0
2025-04-04 11:30:00,FOREXCOM:XAUUSD,3106.04,3106.045,3101.725,3102.93,0.0
2025-04-04 11:45:00,FOREXCOM:XAUUSD,3102.93,3108.87,3102.73,3108.87,0.0
2025-04-04 12:00:00,FOREXCOM:XAUUSD,3108.87,3109.955,3106.52,3107.63,0.0
2025-04-04 12:15:00,FOREXCOM:XAUUSD,3107.63,3108.07,3102.595,3102.925,0.0
2025-04-04 12:30:00,FOREXCOM:XAUUSD,3102.925,3104.79,3100.785,3101.32,0.0
2025-04-04 12:45:00,FOREXCOM:XAUUSD,3101.32,3103.525,3100.635,3101.14,0.0
2025-04-04 13:00:00,FOREXCOM:XAUUSD,3101.14,3102.56,3095.12,3100.14,0.0
2025-04-04 13:15:00,FOREXCOM:XAUUSD,3100.14,3103.47,3092.985,3100.48,0.0
2025-04-04 13:30:00,FOREXCOM:XAUUSD,3100.48,3100.485,3093.805,3093.945,0.0
2025-04-04 13:45:00,FOREXCOM:XAUUSD,3093.945,3096.76,3092.155,3092.96,0.0
2025-04-04 14:00:00,FOREXCOM:XAUUSD,3092.96,3094.125,3088.355,3089.095,0.0
2025-04-04 14:15:00,FOREXCOM:XAUUSD,3089.095,3089.39,3082.025,3084.65,0.0
2025-04-04 14:30:00,FOREXCOM:XAUUSD,3084.65,3084.8,3078.58,3083.275,0.0
2025-04-04 14:45:00,FOREXCOM:XAUUSD,3083.275,3085.84,3081.425,3084.24,0.0
2025-04-04 15:00:00,FOREXCOM:XAUUSD,3084.24,3092.48,3083.915,3091.015,0.0
2025-04-04 15:15:00,FOREXCOM:XAUUSD,3091.015,3096.01,3090.045,3093.755,0.0
2025-04-04 15:30:00,FOREXCOM:XAUUSD,3093.755,3093.79,3088.165,3088.215,0.0
2025-04-04 15:45:00,FOREXCOM:XAUUSD,3088.215,3094.68,3086.645,3090.755,0.0
2025-04-04 16:00:00,FOREXCOM:XAUUSD,3090.755,3100.26,3090.68,3095.435,0.0
2025-04-04 16:15:00,FOREXCOM:XAUUSD,3095.435,3107.095,3093.98,3107.06,0.0
2025-04-04 16:30:00,FOREXCOM:XAUUSD,3107.06,3116.18,3104.52,3111.36,0.0
2025-04-04 16:45:00,FOREXCOM:XAUUSD,3111.36,3115.655,3104.825,3110.35,0.0
2025-04-04 17:00:00,FOREXCOM:XAUUSD,3110.35,3136.695,3109.28,3134.68,0.0
2025-04-04 17:15:00,FOREXCOM:XAUUSD,3134.68,3134.685,3126.395,3127.355,0.0
2025-04-04 17:30:00,FOREXCOM:XAUUSD,3127.355,3129.28,3107.105,3109.47,0.0
2025-04-04 17:45:00,FOREXCOM:XAUUSD,3109.47,3112.22,3095.725,3110.39,0.0
2025-04-04 18:00:00,FOREXCOM:XAUUSD,3110.39,3111.935,3091.64,3092.94,0.0
2025-04-04 18:15:00,FOREXCOM:XAUUSD,3092.94,3104.255,3091.335,3097.33,0.0
2025-04-04 18:30:00,FOREXCOM:XAUUSD,3097.33,3100.75,3070.94,3089.07,0.0
2025-04-04 18:45:00,FOREXCOM:XAUUSD,3089.07,3090.355,3069.88,3071.24,0.0
2025-04-04 19:00:00,FOREXCOM:XAUUSD,3071.24,3082.76,3070.02,3082.435,0.0
2025-04-04 19:15:00,FOREXCOM:XAUUSD,3082.435,3087.55,3075.67,3075.91,0.0
